Emp ID,Last Name,First Name,Address,City,State,Zip,Telephone,Date Hired,Dept,Location,Work Phone,M/S,Budget,Grade,Vested,Health Plan,Supervisor Name,Supr Phone,Adj
12158,Jones,Bonnie,1600 Auburn Way North,Auburn,WA,98002,(253) 833-1215,12/27/1985,PROD,Seattle,(206) 221-1215,QR-19,R-5321,2,TRUE,Group Health,Bill Harrison,(206) 221-2205,10791
12168,Grover,Dennis,1520 S. W. Grady Way,Renton,WA,98055,(425) 227-1216,1/6/1986,ENGR,Renton,(425) 393-1216,XJ-67,E-1089,19,TRUE,Group Health,Dave Morgan,(206) 393-2002,10781
12196,Peterson,George,3002 Lind Ave. S. W.,Renton,WA,98055,(425) 227-1219,2/3/1986,PROD,Renton,(425) 393-1219,PB-21,R-1779,8,TRUE,Blue Cross,Frank Borman,(206) 393-1265,10753
12215,Cort,Roberta,"515 W. Harrison, #125",Kent,WA,98032,(253) 872-1221,2/22/1986,PROD,Seattle,(206) 221-1221,QR-07,R-2661,6,TRUE,Blue Cross,Eleanor Lancaster,(206) 221-1124,10734
12224,DeCosta,Wally,5720 South 296th Pl.,Auburn,WA,98001,(253) 833-1222,3/3/1986,PROD,Renton,(425) 393-1222,PB-21,R-1779,6,TRUE,Group Health,Frank Borman,(206) 393-1265,10725
12244,Apperly,Ward,19808 W. Valley Hwy.,Kent,WA,98032,(253) 872-1224,3/23/1986,PROD,Renton,(425) 393-1224,PB-14,R-1779,8,TRUE,Group Health,Molly Goldberg,(206) 393-1513,10705
12255,Sievers,Harriet,1300 Bronson Way N.,Renton,WA,98055,(425) 227-1225,4/3/1986,PROD,Seattle,(206) 221-1225,QR-35,R-2661,8,TRUE,Blue Cross,Marsha Mosley,(206) 221-1975,10694
12257,Berry,Frank,22005 84th Ave. S.,Kent,WA,98032,(253) 872-1225,4/5/1986,SALE,Bellevue,(425) 882-1225,HG-12,S-3006,15,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,10692
12278,Gribben,David,"4507 Pacific Hwy. E, #A-2",Tacoma,WA,98424,(360) 575-1227,4/26/1986,ENGR,Renton,(425) 393-1227,XJ-67,E-1089,19,TRUE,Blue Cross,Dave Morgan,(206) 393-2002,10671
12287,Cato,Anthony,1216 N. 4th Ave.,Kent,WA,98032,(253) 872-1228,5/5/1986,SALE,Bellevue,(425) 882-1228,HG-12,S-3006,15,TRUE,Health Plus,Bob Stewart,(206) 882-1590,10662
12370,Arthur,Diane,7710 Lake Washington Blvd. S. E.,Renton,WA,98056,(425) 226-1237,7/27/1986,MKTG,Bellevue,(425) 882-1237,RL-27,M-1211,20,TRUE,Blue Cross,Wes Adams,(206) 221-1958,10579
12375,Tracy,Jean,200 Mill Ave. S.,Renton,WA,98055,(425) 227-1237,8/1/1986,PROD,Seattle,(206) 221-1237,QR-10,R-2661,12,TRUE,Group Health,Peggy Kramer,(206) 221-2083,10574
12461,Leonhardt,Lowell,12510 S. E. Petrovitsky Rd.,Renton,WA,98058,(425) 226-1246,10/26/1986,PROD,Renton,(425) 393-1246,PB-18,R-1779,19,TRUE,Group Health,Frank Sullivan,(206) 393-1000,10488
12466,Hartman,Helen,122 3rd St. N. E.,Auburn,WA,98002,(253) 833-1246,10/31/1986,PROD,Seattle,(206) 221-1246,QR-10,R-2661,9,TRUE,Blue Cross,Peggy Kramer,(206) 221-2083,10483
12471,Howard,Paul,1619 Auburn Way North,Auburn,WA,98002,(253) 833-1247,11/5/1986,PROD,Seattle,(206) 221-1247,QR-12,R-2661,5,TRUE,Blue Cross,Harry Hillis,(206) 221-2179,10478
12525,Weston,Albert,2702 West Valley Hwy. North,Auburn,WA,98001,(253) 833-1252,12/29/1986,PROD,Seattle,(206) 221-1252,QR-12,R-2661,16,TRUE,Group Health,Harry Hillis,(206) 221-2179,10424
12550,Costello,John,238 8th St. S. E.,Auburn,WA,98002,(253) 833-1255,1/23/1987,MKTG,Bellevue,(425) 882-1255,RL-27,M-1211,15,TRUE,Group Health,Bob Shavers,(206) 882-1281,10399
12655,Borman,Frank,25815 111th Ave. S.E.,Kent,WA,98031,(253) 872-1265,5/8/1987,PROD,Renton,(425) 393-1265,PB-21,R-1779,16,TRUE,Health Plus,Wes Adams,(206) 221-1958,10294
12672,Ewing,Robert,4000 Maple Valley Hwy.,Renton,WA,98058,(425) 226-1267,5/25/1987,ACCT,Seattle,(206) 221-1267,BX-45,A-1834,15,TRUE,Health Plus,Val Johnson,(206) 221-1958,10277
12677,Gray,James,7601 S. 190th,Kent,WA,98032,(253) 872-1267,5/30/1987,SALE,Bellevue,(425) 882-1267,HG-12,S-3006,16,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,10272
12699,Diaz,Carol,14719 S.E. 272nd Street,Kent,WA,98042,(253) 872-1269,6/21/1987,PROD,Seattle,(206) 221-1269,QR-19,R-5321,18,TRUE,Blue Cross,Bill Harrison,(206) 221-2205,10250
12752,Giles,Peter,18821 90th Ave. S.,Kent,WA,98031,(253) 872-1275,8/13/1987,ACCT,Seattle,(206) 221-1275,BX-45,A-1834,11,TRUE,Group Health,Val Johnson,(206) 221-1958,10197
12810,Shavers,Robert,14413 S. E. 128th,Renton,WA,98056,(425) 226-1281,10/10/1987,MKTG,Bellevue,(425) 882-1281,RL-27,M-1211,15,TRUE,Group Health,Diane Arthur,(206) 882-1237,10139
12957,Ward,Candy,5869 S. 194th,Kent,WA,98032,(253) 872-1295,3/5/1988,SALE,Bellevue,(425) 882-1295,HG-12,S-3006,16,TRUE,Group Health,Bob Stewart,(206) 882-1590,9992
13001,Roth,Bill,22230 Russell Rd.,Kent,WA,98032,(253) 872-1300,4/18/1988,PROD,Seattle,(206) 221-1300,QR-12,R-2661,18,TRUE,Blue Cross,Harry Hillis,(206) 221-2179,9948
13007,Covello,Charlotte,1833 Auburn N Ste. B,Auburn,WA,98002,(253) 833-1300,4/24/1988,SALE,Bellevue,(425) 882-1300,HG-12,S-3006,15,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,9942
13040,Reynolds,Jonathan,1000 S. W. 7th St.,Renton,WA,98055,(425) 227-1304,5/27/1988,MKTG,Bellevue,(425) 882-1304,RL-27,M-1211,14,TRUE,Health Plus,Diane Arthur,(206) 882-1237,9909
13048,Horton,Bart,3501 C St. N. E.,Auburn,WA,98002,(253) 833-1304,6/4/1988,PROD,Renton,(425) 393-1304,PB-18,R-1779,16,TRUE,Blue Cross,Frank Sullivan,(206) 393-1000,9901
13066,Kalman,Donna,3941 B Street,Auburn,WA,98001,(253) 833-1306,6/22/1988,PROD,Renton,(425) 393-1306,PB-21,R-1779,15,TRUE,Blue Cross,Frank Borman,(206) 393-1265,9883
13067,Kowalski,John,1212 Dayton Ave. N. E.,Renton,WA,98056,(425) 226-1306,6/23/1988,SALE,Bellevue,(425) 882-1306,HG-12,S-3006,20,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,9882
13070,Vaughn,Carole,3401 Auburn Way North,Auburn,WA,98002,(253) 833-1307,6/26/1988,MKTG,Bellevue,(425) 882-1307,RL-27,M-1211,13,TRUE,Blue Cross,Barry Slatta,(206) 882-2246,9879
13077,Hegarty,Sharon,19015 66th Ave. S.,Kent,WA,98032,(253) 872-1307,7/3/1988,SALE,Bellevue,(425) 882-1307,HG-12,S-3006,3,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,9872
13255,Blair,Carolyn,1813 Howard Rd.,Auburn,WA,98002,(253) 833-1325,12/28/1988,ENGR,Renton,(425) 393-1325,XJ-67,E-1089,15,TRUE,Group Health,Dave Morgan,(206) 393-2002,9694
13343,Simpson,Paul,3290 B. St.,Auburn,WA,98001,(253) 833-1334,3/26/1989,PROD,Seattle,(206) 221-1334,QR-12,R-2661,1,TRUE,Group Health,Harry Hillis,(206) 221-2179,9606
13346,Collins,Nancy,1411 R St. N. W.,Auburn,WA,98001,(253) 833-1334,3/29/1989,PROD,Renton,(425) 393-1334,PB-21,R-1779,13,TRUE,Blue Cross,Frank Borman,(206) 393-1265,9603
13348,Schneider,Chris,25414 104th Ave. S.E.,Kent,WA,98031,(253) 872-1334,3/31/1989,ENGR,Renton,(425) 393-1334,XJ-67,E-1089,15,TRUE,Blue Cross,Dave Morgan,(206) 393-2002,9601
13410,Hagman,Margo,20 Auburn Way South,Auburn,WA,98002,(253) 833-1341,6/1/1989,MKTG,Bellevue,(425) 882-1341,RL-27,M-1211,13,TRUE,Blue Cross,Jon Reynolds,(206) 882-304,9539
13564,Nicholson,Harold,550 S. W. 7th,Renton,WA,98055,(425) 227-1356,11/2/1989,PROD,Renton,(425) 393-1356,PB-14,R-1779,11,TRUE,Blue Cross,Molly Goldberg,(206) 393-1513,9385
13666,Purcell,Paul,22911 86th Ave. S.,Kent,WA,98031,(253) 872-1366,2/12/1990,PROD,Seattle,(206) 221-1366,QR-19,R-5321,5,TRUE,Blue Cross,Bill Harrison,(206) 221-2205,9283
13668,Jarrett,Lynn,345 Union Ave. N. E.,Renton,WA,98056,(425) 226-1366,2/14/1990,PROD,Seattle,(206) 221-1366,QR-27,R-2661,20,TRUE,Blue Cross,Wes Adams,(206) 221-1958,9281
13751,Hildermann,Don,448 W. Main St.,Auburn,WA,98001,(253) 833-1375,5/8/1990,PROD,Seattle,(206) 221-1375,QR-27,R-2661,10,TRUE,Health Plus,Lynn Jarret,(206) 221-1366,9198
13895,Pierce,Sam,1037 thomas Ave. S. W.,Renton,WA,98055,(425) 227-1389,9/29/1990,PROD,Seattle,(206) 221-1389,QR-06,R-5321,3,TRUE,Group Health,Joe Stone,(206) 221-2252,9054
13989,Lewis,John,22257 W. Valley Hwy.,Kent,WA,98032,(253) 872-1398,1/1/1991,PROD,Renton,(425) 393-1398,PB-21,R-1779,15,TRUE,Group Health,Frank Borman,(206) 393-1265,8960
14082,Farmer,Lou,232 C St. N. W.,Auburn,WA,98001,(253) 833-1408,4/4/1991,ACCT,Seattle,(206) 221-1408,BX-45,A-1834,12,TRUE,Blue Cross,Val Johnson,(206) 221-1958,8867
14084,Taft,Jerry,21202 Pacific Hwy. S.,Des Moines,WA,98027,(253) 775-1408,4/6/1991,PROD,Renton,(425) 393-1408,PB-18,R-1779,15,TRUE,Blue Cross,Frank Sullivan,(206) 393-1000,8865
14219,Bates,Eileen,701 15th S. W.,Auburn,WA,98001,(253) 833-1421,8/19/1991,PROD,Seattle,(206) 221-1421,QR-31,R-5321,7,TRUE,Group Health,Bob Irwin,(206) 221-1549,8730
14249,Ferris,Cindy,"9725 3rd N.E., #400",Seattle,WA,98115,(206) 452-1424,9/18/1991,ENGR,Renton,(425) 393-1424,XJ-67,E-1089,12,TRUE,Health Plus,Dave Rogers,(206) 393-1973,8700
14306,Heinemann,Donald,13020 Lake Kathleen Rd. S. E.,Renton,WA,98056,(425) 226-1430,11/14/1991,PROD,Seattle,(206) 221-1430,QR-31,R-5321,14,TRUE,Blue Cross,Bob Irwin,(206) 221-1549,8643
14385,Cullen,Bruce,112 3rd St. N. W.,Auburn,WA,98002,(253) 833-1438,2/1/1992,PROD,Seattle,(206) 221-1438,QR-07,R-2661,18,TRUE,Blue Cross,Eleanor Lancaster,(206) 221-1124,8564
14441,Corcoran,Joyce,1420 Auburn Way South,Auburn,WA,98002,(253) 833-1444,3/28/1992,PROD,Renton,(425) 393-1444,PB-21,R-1779,2,TRUE,Blue Cross,Frank Borman,(206) 393-1265,8508
14456,Parks,Vickie,941 Powell Ave. S. W. Ste. 100,Renton,WA,98055,(425) 227-1445,4/12/1992,PROD,Seattle,(206) 221-1445,QR-06,R-5321,8,TRUE,Blue Cross,Joe Stone,(206) 221-2252,8493
14473,Lansing,Elaine,10432 Kent-Kangley,Kent,WA,98031,(253) 872-1447,4/29/1992,PROD,Seattle,(206) 221-1447,QR-06,R-5321,17,TRUE,Health Plus,Joe Stone,(206) 221-2252,8476
14665,Erickson,Ron,15 S. Grady Way,Renton,WA,98055,(425) 227-1466,11/7/1992,PROD,Seattle,(206) 221-1466,QR-06,R-5321,12,TRUE,Blue Cross,Joe Stone,(206) 221-2252,8284
14666,Buchanan,Kevin,299 Rainier Ave S.,Renton,WA,98055,(425) 227-1466,11/7/1992,PROD,Seattle,(206) 221-1466,QR-12,R-2661,2,TRUE,Blue Cross,Harry Hillis,(206) 221-2179,8284
14731,Spencer,Julia,239 S. W. 41St Bldg. 11,Renton,WA,98055,(425) 227-1473,1/12/1993,PROD,Renton,(425) 393-1473,PB-21,R-1779,19,TRUE,Group Health,Frank Borman,(206) 393-1265,8218
14750,Cleveland,Patricia,60 S. Grady Way,Renton,WA,98055,(425) 227-1475,1/31/1993,MKTG,Bellevue,(425) 882-1475,RL-27,M-1211,15,TRUE,Blue Cross,Jon Reynolds,(206) 882-304,8199
14783,Jones,Ann,200 S. W. 16th,Renton,WA,98055,(425) 227-1478,3/5/1993,PROD,Seattle,(206) 221-1478,QR-19,R-5321,1,TRUE,Group Health,Bill Harrison,(206) 221-2205,8166
14809,Jenkins,Angela,3915 Talbot Rd. S. Ste. 209,Renton,WA,98055,(425) 227-1480,3/31/1993,PROD,Seattle,(206) 221-1480,QR-27,R-2661,1,TRUE,Blue Cross,Lynn Jarret,(206) 221-1366,8140
14875,Ford,Jean,21229 84th Avenue S.,Kent,WA,98032,(253) 872-1487,6/5/1993,PROD,Seattle,(206) 221-1487,QR-31,R-5321,1,TRUE,Blue Cross,Bob Irwin,(206) 221-1549,8074
14905,Grout,Patricia,14410 S. E. Petrovitsky,Renton,WA,98058,(425) 226-1490,7/5/1993,PROD,Renton,(425) 393-1490,PB-18,R-1779,13,TRUE,Blue Cross,Frank Sullivan,(206) 393-1000,8044
14921,Corbett,Jessica,17220 140th S. E.,Renton,WA,98058,(425) 226-1492,7/21/1993,PROD,Renton,(425) 393-1492,PB-14,R-1779,19,TRUE,Blue Cross,Molly Goldberg,(206) 393-1513,8028
14950,Monroe,Jon,516 Kenosia,Kent,WA,98031,(253) 872-1495,8/19/1993,MKTG,Bellevue,(425) 882-1495,RL-27,M-1211,12,TRUE,Group Health,Jon Reynolds,(206) 882-304,7999
14995,Turner,Maureen,4108 Jones Ave. N. E.,Renton,WA,98056,(425) 226-1499,10/3/1993,PROD,Seattle,(206) 221-1499,QR-19,R-5321,19,TRUE,Group Health,Bill Harrison,(206) 221-2205,7954
14997,Tolbert,Mike,3220 B St. S. E.,Auburn,WA,98002,(253) 833-1499,10/5/1993,SALE,Bellevue,(425) 882-1499,HG-12,S-3006,5,TRUE,Group Health,Bob Stewart,(206) 882-1590,7952
15002,Smith,Valerie,626-B Industry Dr.,Seattle,WA,98188,(206) 452-1500,10/10/1993,ACCT,Seattle,(206) 221-1500,BX-45,A-1834,22,TRUE,Group Health,Susan Buckle,(206) 221-1958,7947
15035,Mosher,Donna,201 Wells Ave. S.,Renton,WA,98055,(425) 227-1503,11/12/1993,PROD,Seattle,(206) 221-1503,QR-07,R-2661,8,TRUE,Blue Cross,Eleanor Lancaster,(206) 221-1124,7914
15131,Goldberg,Molly,105 1St St. N. E.,Auburn,WA,98002,(253) 833-1513,2/16/1994,PROD,Renton,(425) 393-1513,PB-14,R-1779,16,TRUE,Blue Cross,Wes Adams,(206) 221-1958,7818
15144,Gerson,James,2415 Auburn Way North,Auburn,WA,98002,(253) 833-1514,3/1/1994,PROD,Seattle,(206) 221-1514,QR-31,R-5321,9,TRUE,Group Health,Bob Irwin,(206) 221-1549,7805
15177,Reynolds,Richard,711 Powell Ave. S. W.,Renton,WA,98055,(425) 227-1517,4/3/1994,SALE,Bellevue,(425) 882-1517,HG-12,S-3006,20,TRUE,Blue Cross,Bob Stewart,(206) 882-1590,7772
15179,Brown,Dave,444 Park Ave. N.,Renton,WA,98055,(425) 227-1517,4/5/1994,ENGR,Renton,(425) 393-1517,XJ-67,E-1089,14,TRUE,Blue Cross,Dave Morgan,(206) 393-2002,7770
15235,Bennington,Paul,17425 120th Lane S. E.,Renton,WA,98058,(425) 226-1523,5/31/1994,PROD,Renton,(425) 393-1523,PB-21,R-1779,1,TRUE,Blue Cross,Frank Borman,(206) 393-1265,7714
15294,Shelley,Wayne,"25230 Pacific Hwy., S.",Kent,WA,98032,(253) 872-1529,7/29/1994,PROD,Seattle,(206) 221-1529,QR-07,R-2661,2,TRUE,Group Health,Eleanor Lancaster,(206) 221-1124,7655
15373,Cohen,Mary,2500 Lake Washington Blvd. Nor,Renton,WA,98056,(425) 226-1537,10/16/1994,PROD,Renton,(425) 393-1537,PB-14,R-1779,6,TRUE,Group Health,Molly Goldberg,(206) 393-1513,7576
15453,Shepard,Dan,37201 Military Rd. South,Auburn,WA,98001,(253) 833-1545,1/4/1995,ENGR,Renton,(425) 393-1545,XJ-67,E-1089,20,TRUE,Group Health,Dave Rogers,(206) 393-1973,7496
15499,Irwin,Bob,941 Powell Ave. S. W. Ste. 109,Renton,WA,98055,(425) 227-1549,2/19/1995,PROD,Seattle,(206) 221-1549,QR-31,R-5321,20,TRUE,Blue Cross,Wes Adams,(206) 221-1958,7450
15515,Gallagher,Kay,"222 ""A"" Street S. E.",Auburn,WA,98002,(253) 833-1551,3/7/1995,PROD,Renton,(425) 393-1551,PB-21,R-1779,1,TRUE,Group Health,Frank Borman,(206) 393-1265,7434
15516,Walker,William,500 26th N. E.,Auburn,WA,98002,(253) 833-1551,3/7/1995,PROD,Seattle,(206) 221-1551,QR-07,R-2661,10,TRUE,Group Health,Eleanor Lancaster,(206) 221-1124,7434
